epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,577.912,1.82014,1.34461,0.9707,0.41357,0.32428,0.2911,0.14693,1.66869,1.03271,0.90074,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127
2,1014.01,1.81352,1.18062,0.92897,0.45486,0.32634,0.29719,0.14507,1.73058,1.03596,0.91047,0.0197959,0.00659863,0.0197959,0.00659863,0.0197959,0.00659863,0.0197959,0.00659863
3,1425.18,1.88402,1.21008,0.93134,0.44614,0.32476,0.29652,0.14691,1.74589,1.08029,0.90995,0.0293999,0.00979998,0.0293999,0.00979998,0.0293999,0.00979998,0.0293999,0.00979998
4,1822.68,1.89037,1.22197,0.9346,0.41535,0.34368,0.30792,0.15272,1.70846,1.04599,0.90181,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2222.7,1.83116,1.16104,0.9233,0.46817,0.35023,0.32994,0.16424,1.67208,1.00604,0.89428,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2622.58,1.79804,1.13386,0.9174,0.45484,0.36352,0.33433,0.16337,1.67187,1.0008,0.89216,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3023.55,1.75667,1.08995,0.9091,0.47279,0.37516,0.35839,0.17871,1.62841,0.97271,0.88379,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3422.6,1.74019,1.0736,0.90167,0.48436,0.38285,0.36616,0.18333,1.6061,0.95446,0.88467,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3825.47,1.7128,1.056,0.90068,0.5013,0.38587,0.36916,0.1854,1.58245,0.94057,0.87854,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4225.37,1.68955,1.03692,0.89869,0.51717,0.37545,0.3717,0.18559,1.59719,0.94167,0.88045,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4625.57,1.68293,1.01747,0.88936,0.5189,0.38392,0.37543,0.19073,1.55198,0.93219,0.87721,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5027.53,1.65879,1.013,0.88998,0.51332,0.38994,0.37917,0.19223,1.55468,0.92142,0.87397,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5426.7,1.65092,0.99686,0.88828,0.52436,0.39673,0.39003,0.19765,1.53106,0.91015,0.86692,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5825.38,1.6313,0.98254,0.88552,0.5298,0.3978,0.38897,0.1984,1.53134,0.91087,0.87185,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6226.53,1.62912,0.98129,0.87988,0.54127,0.40236,0.39866,0.20189,1.53789,0.89599,0.86721,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6626.63,1.62021,0.96532,0.8801,0.54012,0.40735,0.40199,0.20468,1.51624,0.88524,0.86641,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,7025.76,1.60938,0.96443,0.87845,0.53929,0.41027,0.40683,0.20582,1.52463,0.88379,0.86393,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7427.01,1.60362,0.95488,0.87687,0.53947,0.40926,0.40643,0.20695,1.49702,0.87584,0.86198,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7847.53,1.59453,0.94729,0.87777,0.53702,0.41254,0.40592,0.20742,1.50614,0.87341,0.86326,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,8248.87,1.57995,0.93685,0.87308,0.55438,0.41359,0.41514,0.212,1.4975,0.86965,0.86105,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,8649.85,1.58153,0.93812,0.87464,0.55915,0.41767,0.41748,0.21406,1.482,0.85987,0.85931,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,9048.24,1.57589,0.93366,0.87035,0.57169,0.41481,0.41772,0.21283,1.48416,0.85943,0.85867,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,9455.09,1.5655,0.92276,0.87145,0.56707,0.41585,0.4196,0.21579,1.47739,0.85908,0.85745,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,9856.79,1.5595,0.91485,0.86793,0.55658,0.41805,0.41621,0.21254,1.49267,0.86837,0.86065,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,10256,1.56387,0.91838,0.86878,0.5563,0.42486,0.42201,0.21711,1.47029,0.85194,0.85728,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,10657.3,1.55652,0.90838,0.86711,0.57817,0.42215,0.42844,0.2199,1.47335,0.85028,0.85637,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,11055.6,1.54164,0.89876,0.86668,0.57826,0.4231,0.42665,0.21898,1.47365,0.8465,0.85827,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,11456,1.54924,0.90904,0.866,0.57421,0.42824,0.43182,0.22121,1.46139,0.84292,0.85453,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,11850.6,1.53503,0.89625,0.86481,0.56565,0.42646,0.42958,0.22093,1.46891,0.84274,0.85607,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,12241.4,1.53294,0.89455,0.86291,0.58678,0.42876,0.43596,0.22357,1.46376,0.8386,0.85526,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,12631.6,1.52607,0.8924,0.86383,0.57772,0.43159,0.43722,0.22485,1.45778,0.83623,0.85359,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,13021.3,1.53171,0.88941,0.8627,0.57399,0.43002,0.4336,0.22458,1.44952,0.82882,0.85321,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13415.3,1.51582,0.87432,0.85888,0.58241,0.43477,0.44122,0.22764,1.4407,0.82685,0.85224,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13816.8,1.52793,0.8825,0.85863,0.59267,0.43308,0.4435,0.22824,1.45455,0.82238,0.85164,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14216.8,1.51581,0.87559,0.86015,0.58793,0.43443,0.44168,0.22886,1.44907,0.82592,0.85123,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14618.1,1.51351,0.8724,0.85877,0.57642,0.43174,0.44008,0.22671,1.44723,0.82601,0.85152,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,15018.8,1.50604,0.8654,0.85691,0.58987,0.43705,0.4473,0.23026,1.4414,0.8244,0.84982,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15420.4,1.50549,0.87074,0.85629,0.59728,0.43678,0.44719,0.23089,1.4363,0.81721,0.84925,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,15821.6,1.50483,0.86607,0.85721,0.59315,0.43636,0.44688,0.23135,1.43012,0.81476,0.84928,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,16219.9,1.50259,0.86476,0.85506,0.59855,0.43788,0.44843,0.2325,1.42777,0.81119,0.84783,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,16614.5,1.4911,0.85522,0.85362,0.59271,0.43933,0.44706,0.23102,1.43322,0.81132,0.84851,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,17015.6,1.49387,0.85814,0.85672,0.58995,0.4425,0.44791,0.23189,1.42824,0.81,0.84851,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,17417.1,1.4851,0.85025,0.85369,0.58908,0.44211,0.45112,0.23313,1.42657,0.80708,0.84745,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,17817.5,1.47349,0.84093,0.85064,0.60166,0.44566,0.45443,0.23442,1.42381,0.79967,0.8473,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,18219.4,1.48713,0.84874,0.85246,0.59526,0.44012,0.45205,0.23482,1.41939,0.80332,0.84515,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,18619.5,1.49408,0.85683,0.85253,0.59798,0.4427,0.45399,0.23601,1.41512,0.80193,0.84506,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,19032.5,1.48526,0.84817,0.85357,0.59745,0.44528,0.45543,0.23728,1.41263,0.8021,0.84598,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,19431.8,1.47897,0.84491,0.8502,0.58632,0.44891,0.45481,0.23693,1.42043,0.79781,0.84587,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
